Quarter,Records,MAE,RMSE,R2,Bias
Q1,2160,3.2015391018518518,3.4546340879569803,-0.4610423626961797,-3.2012101407407405
Q2,2184,1.2691438392857144,1.6537811051349613,0.6943226300554761,-0.341055069139194
Q3,2208,1.2555720520833333,1.5226164551032086,0.7013075056481,0.7048316236413044
Q4,2184,1.0345440741758243,1.2968078429020005,0.6477736863637351,0.35632887362637355
