Interval,Error_Radius_C,Interval_Width_C,Observed_Coverage_2023
80%,1.1584211999999985,2.316842399999997,0.7416437728937729
90%,1.6113389999999994,3.222677999999999,0.863209706959707
95%,2.0824142499999985,4.164828499999997,0.9297161172161172
