Model,MAE,RMSE,MAPE,R2
Persistence,0.9017055860805862,1.2746098483723423,3.240606803767659,0.8492411882570235
XGBoost,0.8415494026281894,1.1425788178069534,3.024843644043801,0.8788563922617904
LSTM,1.6848537107963701,2.154291554684953,6.24777839496314,0.56933743366292
Hybrid 90/10,0.8616204963498937,1.1599856949484901,3.1082088178894756,0.8751370954546694
