Model_A,Model_B,MAE_A,MAE_B,Median_Error_A,Median_Error_B,Wilcoxon_Statistic,p_value,Significance,Bonferroni_Significant
Persistence,XGBoost,0.9017055860805862,0.8415494043040294,0.6000000000000014,0.6308065000000003,16941827.0,1.1136476916651231e-19,Significant,True
Persistence,LSTM,0.9017055860805862,1.6848537035256408,0.6000000000000014,1.3800335000000015,8811960.5,0.0,Significant,True
Persistence,Hybrid,0.9017055860805862,0.8616205112179487,0.6000000000000014,0.6552319999999998,17944663.0,1.4136302508549499e-06,Significant,True
XGBoost,LSTM,0.8415494043040294,1.6848537035256408,0.6308065000000003,1.3800335000000015,6905200.0,0.0,Significant,True
XGBoost,Hybrid,0.8415494043040294,0.8616205112179487,0.6308065000000003,0.6552319999999998,16715768.0,1.0565514710595703e-23,Significant,True
LSTM,Hybrid,1.6848537035256408,0.8616205112179487,1.3800335000000015,0.6552319999999998,6407695.5,0.0,Significant,True
