Model,MAE,RMSE,MAPE,R2
XGBoost Baseline,0.8415494026281894,1.1425788178069534,3.024843644043801,0.8788563922617904
LSTM Baseline,1.6252825460267573,2.031458676105744,6.0106244421434365,0.6167391235692767
