Experiment,Features,MAE,RMSE,R2,MAE_Change_vs_Full_%,RMSE_Change_vs_Full_%
Full Model,28,0.7400880295827508,1.037785604575017,0.8783545262364059,0.0,0.0
Without Lag Features,19,0.7441817761338465,1.0487570062367872,0.8757688744177838,0.5531431920880708,1.0571934716962321
Without Rolling Features,26,0.73572464067642,1.0333104180955457,0.8794013945175007,-0.589577014073693,-0.43122456697632033
Without Temporal Features,22,0.7505381408238521,1.044741891597607,0.8767182790713597,1.412009223685578,0.6703009746833757
Without Wind Direction,26,0.7392813624203478,1.0382052876633177,0.878256118876021,-0.10899610994353584,0.040440249551604045
Without Change Features,26,0.7406596563069244,1.0417964813222884,0.8774124282969186,0.07723766651055426,0.3864841379172928
