Month,Records,XGBoost_MAE,XGBoost_RMSE,Persistence_MAE,Persistence_RMSE,Winner
1,744,0.7082727258064516,0.936394121491588,0.7516129032258065,1.0282566936115658,XGBoost
2,672,0.8376937261904762,1.0892270944269422,0.7888392857142856,1.084996434051634,Persistence
3,744,0.5699235537634408,0.8126312750671426,0.6506720430107527,0.9355364742347868,XGBoost
4,720,0.6033052944444445,0.8380012920509564,0.6219444444444444,0.8434222614509953,XGBoost
5,744,0.9186480456989248,1.324162653270353,1.041263440860215,1.5151253541240994,XGBoost
6,720,1.102303548611111,1.5455260376211266,1.191527777777778,1.7276388833060894,XGBoost
7,744,1.1815294099462366,1.506111251459061,1.1454301075268818,1.5909184471167415,Persistence
8,744,0.8997588776881722,1.1637385511995644,1.0126344086021504,1.325281467365305,XGBoost
9,720,0.8876230277777779,1.1245224169970705,0.9718055555555555,1.3119059502198405,XGBoost
10,744,0.7629220362903225,0.9920188501982592,0.8348118279569893,1.1060136206359565,XGBoost
11,720,0.9047168874999999,1.143746042922428,0.9726388888888888,1.3376544562944663,XGBoost
12,720,0.7219133986111111,0.9530799107485389,0.8288888888888888,1.159094474147815,XGBoost
