Month,Best_Model,Best_MAE
January,XGBoost,0.7082727258064516
February,Persistence,0.7888392857142856
March,XGBoost,0.5699235537634408
April,XGBoost,0.6033052944444445
May,Hybrid,0.9171830107526883
June,XGBoost,1.102303548611111
July,Persistence,1.1454301075268818
August,XGBoost,0.8997588776881722
September,XGBoost,0.8876230277777779
October,XGBoost,0.7629220362903225
November,Hybrid,0.8988211916666669
December,Hybrid,0.7094281458333334
