XGBoost_Weight,LSTM_Weight,MAE,RMSE
0.0,1.0,1.045409069940476,1.3400160644340764
0.05,0.95,1.0183517281192764,1.3087138769212752
0.1,0.9,0.9920696568108975,1.278582193293112
0.15000000000000002,0.85,0.9665250137763278,1.249705682559346
0.2,0.8,0.9418476570054947,1.2221733165517088
0.25,0.75,0.9181578749713828,1.1960779209632921
0.30000000000000004,0.7,0.8955785213255494,1.171515524863297
0.35000000000000003,0.6499999999999999,0.8740750351018769,1.1485844817124105
0.4,0.6,0.8537986370192308,1.1273843412609537
0.45,0.55,0.8348200314388738,1.108014462389913
0.5,0.5,0.8171144154647436,1.0905723724104728
0.55,0.44999999999999996,0.8006109975560898,1.0751518984403052
0.6000000000000001,0.3999999999999999,0.7855013648809523,1.0618411202386
0.65,0.35,0.7722738253834707,1.0507202192754845
0.7000000000000001,0.29999999999999993,0.7608550457532052,1.0418593227562285
0.75,0.25,0.7514548497882326,1.0353164599719245
0.8,0.19999999999999996,0.7443649437500001,1.031135757705315
0.8500000000000001,0.1499999999999999,0.7394982607429028,1.029345998196533
0.9,0.09999999999999998,0.7370579003090658,1.0299596457351645
0.9500000000000001,0.04999999999999993,0.7372703982200092,1.0329724170265056
1.0,0.0,0.740357912087912,1.0383634293864756
