Threshold,Precision,Recall,F1,F2
0.1,0.1809810186055253,0.9206500956022945,0.30249725145280354,0.5065754865860074
0.15,0.19174603174603175,0.8661567877629063,0.31398371166175704,0.5084745762711864
0.2,0.2043162092423176,0.8326959847036329,0.3281220568845357,0.5155676571563869
0.25,0.2128317443957743,0.7896749521988528,0.3352953115486097,0.5120892746435214
0.3,0.2227623677437804,0.7447418738049714,0.3429451904028175,0.5070954302825152
0.35,0.23328050713153725,0.7036328871892925,0.3503927636277077,0.5014307126311487
0.4,0.244825124910778,0.655831739961759,0.35654885654885654,0.4909819639278557
0.45,0.26163265306122446,0.612810707456979,0.36670480549199086,0.48311727464576426
0.5,0.2786187322611164,0.5630975143403442,0.37278481012658227,0.4676087646872023
0.55,0.29605263157894735,0.5162523900573613,0.37630662020905925,0.44940079893475365
0.6,0.3157543391188251,0.4521988527724665,0.3718553459119497,0.4162266807462161
0.65,0.3458333333333333,0.3967495219885277,0.3695458593054319,0.38540118870728085
0.7,0.3783209351753454,0.3403441682600382,0.3583291394061399,0.3473170731707317
0.75,0.4122681883024251,0.2762906309751434,0.3308528906697195,0.29580348004094165
0.8,0.48344370860927155,0.20936902485659656,0.2921947965310207,0.23614405865861549
0.85,0.5290102389078498,0.14818355640535372,0.2315160567587752,0.17310699128880946
0.9,0.6736111111111112,0.09273422562141491,0.16302521008403362,0.11206099815157117
